Algorithm,Run,Fitness,Latency (ms),Energy (J),CPU Utilization (%)
PSO,12,1.4362796096315535,2178.8442803317666,32.2432603581234,30.22462794819676
PSO,13,1.4400412024873472,2214.5543316330495,27.827150876879355,11.876683564191687
PSO,14,2.2065622357683887,3461.928193997177,32.351329842520606,11.789997764742823
PSO,15,1.8286710467081464,2828.7749528760064,32.85151874563571,9.991137842938128
PSO,16,1.8180535982496078,2784.6844064541306,36.81073859428235,11.639082120181133
PSO,17,2.7700820810704294,4304.285701998364,46.87766496785285,10.930260194766674
PSO,18,1.6928693424777446,2631.8916246688304,28.433591919111613,13.930092172530776
PSO,19,1.3153051102069504,1936.9390661620748,38.28541762742638,25.97118454338071
PSO,20,1.0316650478451588,1529.7187349818519,28.458451714011908,16.678606272616115
PSO,21,1.6403295879192772,2502.829989770099,34.65789851430447,12.496455131414915
PSO,22,1.8099497088040395,2818.9351586387374,29.64715340519923,11.336581942780283
PSO,23,1.9575565658607972,3035.7038527492496,34.03356355281183,12.845298760747866
PSO,24,1.6587337183674364,2602.385324454559,24.32563092367531,18.100232490475584
PSO,25,1.940242573598683,3032.248281094126,30.22340123555189,12.485793066392201
PSO,26,1.827702584313909,2853.6310074899543,28.880994954984104,12.166941286535963
PSO,27,2.785564988526745,4392.433539942888,37.52621614025293,13.17711281810394
PSO,28,1.8065672332202918,2782.5303556703925,34.26225495451408,16.39438827235962
PSO,29,1.9815544794024629,3081.230081420278,33.20410763757401,18.31805905087037
PSO,30,2.990574836773211,4728.402395700178,38.38334983827595,10.27157895417829
GA,1,1.1581194468369023,1693.6705295744143,35.47928227306342,16.022893763325293
GA,2,1.7832785783242433,2699.5245411847322,40.89096340335094,11.179947693293498
GA,3,1.1016450815220102,1648.759654311023,28.09732223384912,21.502553703780713
GA,4,0.9666981128558126,1424.4185778633066,28.011741534457183,19.016823133489464
GA,5,1.412691741200755,2119.249957751542,35.285441637457446,18.19038574918362
GA,6,1.0118294708518687,1480.690947280219,30.853725620934323,16.125176890943546
GA,7,1.1323048394082962,1721.5369472687619,24.845667761759767,19.71326060872605
GA,8,1.0749559288385457,1587.8749134384586,30.557745193867664,14.216805815436109
GA,9,0.9784276958518794,1467.4623890004268,24.48756561290583,18.61243524266219
GA,10,1.5728325949690625,2418.2282868167513,30.473905719752974,10.618399858090795
GA,11,1.4185820709471197,2133.5315768796863,34.615781204826995,10.534125857306083
GA,12,0.9840262537811713,1448.1860828184444,28.778651022526123,23.229915676238065
GA,13,1.0396181709511316,1545.8766056630338,28.023051888327842,11.613102822323537
GA,14,1.5643692202590807,2409.398121931076,29.682586775108806,12.265299004588858
GA,15,1.274269865193643,1895.3110349221058,34.27081106009488,12.634712712224605
GA,16,1.4039966007225793,2112.9568825827237,34.055617793236216,12.209028833567588
GA,17,1.5952261471413949,2427.7171777508815,34.64896012271648,8.178389120700242
GA,18,1.1147702106883048,1639.9002293040865,32.70751827646325,14.519574124117762
GA,19,1.1913676553493358,1749.0171200155014,35.48934583500873,21.033632216052116
GA,20,1.1558111025940823,1739.3569848679497,28.0492279183281,21.822570181157428
GA,21,1.275801370227679,1909.7452735801971,32.48855151989017,16.190530069833255
GA,22,1.012657902793706,1504.630431146383,27.46991102646909,16.10558511073148
GA,23,1.1848141076655687,1793.9025115910079,27.118150177741004,15.051426811263143
GA,24,0.9908266468078217,1477.370723003083,26.101053251492964,22.920966497421407
GA,25,0.8356615021185034,1201.194504141787,28.73619990835779,14.709232532265665
GA,26,0.9857424545065587,1448.4993520497783,29.160710819172944,24.045044661024907
GA,27,1.13666420064094,1701.9970032314834,28.866499675512472,13.65403245676571
GA,28,1.005290171457924,1465.4813830107125,31.500335412874136,14.535610454820436
GA,29,1.123629122788534,1668.4820516799443,30.634972945141833,13.147204844476699
GA,30,0.9790353989512616,1439.1440043423913,28.887249086456713,21.005010127779716
ACO,1,2.7319491289211184,4255.668798874479,44.63696239910789,10.423157458095572
ACO,2,3.4217255045819557,5385.445866139654,47.61449622454087,12.237651714542581
ACO,3,1.4106136000626972,2193.3590119364058,23.649548225213486,25.17489035979289
ACO,4,2.266406863333384,3613.6848310228706,24.548991179915387,17.192274781109663
ACO,5,3.0500480908868055,4787.860574395724,44.3329365623428,8.50849381643079
ACO,6,1.8144104057868495,2807.9044436441022,32.41693490009705,15.914129508947772
ACO,7,2.821000569602402,4407.89054264577,44.066561003734996,10.00068614632876
ACO,8,2.7784632353951895,4386.961446863164,36.571591819322634,13.391537090745087
ACO,9,3.4209160488092394,5534.6051112641535,25.03824551268685,6.347649498382195
ACO,10,2.8648354947253405,4538.391431859135,35.450158902464956,9.226808879080808
ACO,11,2.6018170432792735,4076.855109943496,38.92599432829406,10.88446688143465
ACO,12,1.6272522731490646,2452.7866288397186,38.895073961308384,20.801170370152796
ACO,13,1.960679766370427,3083.3185546280743,27.672158398395617,11.413215343869663
ACO,14,2.941220894932318,4624.056881242019,41.696691546776755,8.980849780053944
ACO,15,3.610811125479846,5760.429597409867,38.63834175848155,6.633942574897798
ACO,16,3.1492317620876675,4948.792759518818,44.98902659409417,9.290955118676798
ACO,17,4.728108678260792,7504.900248400398,56.2921323051383,7.46018889480696
ACO,18,2.642303223554445,4224.064963498537,26.96606136383071,9.280175690786885
ACO,19,1.6099205254007305,2424.6923837377717,38.776273789516885,23.973440721552603
ACO,20,1.8824402348951244,2946.1012070329552,28.69487766883782,16.63026703019483
